number,name,status
319,Python Synchronize/Asynchronize Block,SR
321,Date/Time Parsing and Formatting,SW
325,Resource-Release Support for Generators,SR
326,A Case for Top and Bottom Values,SR
329,Treating Builtins as Constants in the Standard Library,SR
330,Python Bytecode Verification,SR
332,Byte vectors and String/Unicode Unification,SR
334,Simple Coroutines via SuspendIteration,SW
335,Overloadable Boolean Operators,SR
336,Make None Callable,SR
339,Design of the CPython Compiler,IW
340,Anonymous Block Statements,SR
344,Exception Chaining and Embedded Tracebacks,SS
345,Metadata for Python Software Packages 1.2,SS
346,User Defined (“with”) Statements,SW
348,Exception Reorganization for Python 3.0,SR
349,Allow str() to return unicode strings,SR
350,Codetags,IR
351,The freeze protocol,SR
354,Enumerations in Python,SS
355,Path - Object oriented filesystem paths,SR
359,The “make” Statement,SW
363,Syntax For Dynamic Attribute Access,SR
364,Transitioning to the Py3K Standard Library,SW
365,Adding the pkg_resources module,SR
367,New Super,SS
369,Post import hooks,SW
377,Allow __enter__() methods to skip the statement body,SR
379,Adding an Assignment Expression,SW
381,Mirroring infrastructure for PyPI,SW
382,Namespace Packages,SR
386,Changing the version comparison module in Distutils,SS
390,Static metadata for Distutils,SR
395,Qualified Names for Modules,SW
396,Module Version Numbers,IW
401,BDFL Retirement,PR
402,Simplified Package Layout and Partitioning,SR
406,Improved Encapsulation of Import State,SW
408,Standard library __preview__ package,SR
410,Use decimal.Decimal type for timestamps,SR
411,Provisional packages in the Python standard library,IS
413,Faster evolution of the Python Standard Library,PW
416,Add a frozendict builtin type,SR
422,Simpler customisation of class creation,SW
426,Metadata for Python Software Packages 2.0,IW
431,Time zone support improvements,SS
432,Restructuring the CPython startup sequence,SW
433,Easier suppression of file descriptor inheritance,SS
437,"A DSL for specifying signatures, annotations and argument converters",SR
439,Inclusion of implicit pip bootstrap in Python installation,SR
455,Adding a key-transforming dictionary to collections,SR
459,Standard Metadata Extensions for Python Software Packages,SW
460,Add binary interpolation and formatting,SW
462,Core development workflow automation for CPython,PW
463,Exception-catching expressions,SR
469,Migration of dict iteration code to Python 3,SW
472,Support for indexing with keyword arguments,SR
473,Adding structured data to built-in exceptions,SR
474,Creating forge.python.org,PW
481,"Migrate CPython to Git, Github, and Phabricator",PW
490,Chain exceptions at C level,SR
496,Environment Markers,IR
497,A standard mechanism for backward compatibility,PR
500,A protocol for delegating datetime methods to their tzinfo implementations,SR
501,General purpose template literal strings,SW
502,String Interpolation - Extended Discussion,IR
504,Using the System RNG by default,SW
507,Migrate CPython to Git and GitLab,PR
509,Add a private version to dict,SS
510,Specialize functions with guards,SR
511,API for code transformers,SR
513,A Platform Tag for Portable Linux Built Distributions,IS
516,Build system abstraction for pip/conda etc,SR
521,Managing global context via ‘with’ blocks in generators and coroutines,SW
522,Allow BlockingIOError in security sensitive APIs,SR
531,Existence checking operators,SW
536,Final Grammar for Literal String Interpolation,SW
542,Dot Notation Assignment In Function Header,SR
543,A Unified TLS API for Python,SW
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,SR
548,More Flexible Loop Control,SR
549,Instance Descriptors,SR
550,Execution Context,SW
551,Security transparency in the Python runtime,IW
554,Multiple Interpreters in the Stdlib,SS
555,Context-local variables (contextvars),SW
558,Defined semantics for locals(),SW
559,Built-in noop(),SR
571,The manylinux2010 Platform Tag,IS
575,Unifying function/method classes,SW
576,Rationalize Built-in function classes,SW
577,Augmented Assignment Expressions,SW
580,The C call protocol,SR
582,Python local packages directory,SR
583,A Concurrency Memory Model for Python,IW
595,Improving bugs.python.org,IW
598,Introducing incremental feature releases,IW
599,The manylinux2014 Platform Tag,IS
601,Forbid return/break/continue breaking out of finally,SR
605,A rolling feature release stream for CPython,IR
606,Python Compatibility Version,SR
608,Coordinated Python release,SR
611,The one million limit,SW
620,Hide implementation details from the C API,SW
622,Structural Pattern Matching,SS
631,Dependency specification in pyproject.toml based on PEP 508,SS
633,Dependency specification in pyproject.toml using an exploded TOML table,SR
637,Support for indexing with keyword arguments,SR
640,Unused variable syntax,SR
641,Using an underscore in the version portion of Python 3.10 compatibility tags,SR
642,Explicit Pattern Syntax for Structural Pattern Matching,SR
645,Allow writing optional types as x?,SW
648,Extensible customizations of the interpreter at startup,SR
650,Specifying Installer Requirements for Python Projects,SW
651,Robust Stack Overflow Handling,SR
662,Editable installs via virtual wheels,SR
663,"Standardizing Enum str(), repr(), and format() behaviors",IR
665,A file format to list Python dependencies for reproducibility of an application,SR
666,Reject Foolish Indentation,SR
677,Callable Type Syntax,SR
690,Lazy Imports,SR
704,Require virtual environments by default for package installers,SW
707,A simplified signature for __exit__ and __aexit__,SR
712,Adding a “converter” parameter to dataclasses.field,SR
713,Callable Modules,SR
722,Dependency specification for single-file scripts,SR
724,Stricter Type Guards,SW
726,Module __setattr__ and __delattr__,SR
736,Shorthand syntax for keyword arguments at invocation,SR
754,IEEE 754 Floating Point Special Values,SR
756,Add PyUnicode_Export() and PyUnicode_Import() C functions,SW
759,External Wheel Hosting,SW
760,No More Bare Excepts,SW
2026,Calendar versioning for Python,PR
3001,Procedure for reviewing and improving standard library modules,PW
3103,A Switch/Case Statement,SR
3117,Postfix type declarations,SR
3122,Delineation of the main module,SR
3125,Remove Backslash Continuation,SR
3126,Remove Implicit String Concatenation,SR
3128,BList: A Faster List-like Type,SR
3130,Access to Current Module/Class/Function,SR
3133,Introducing Roles,SR
3136,Labeled break and continue,SR
3139,Cleaning out sys and the “interpreter” module,SR
3140,"str(container) should call str(item), not repr(item)",SR
3142,Add a “while” clause to generator expressions,SR
3145,Asynchronous I/O For subprocess.Popen,SW
3146,Merging Unladen Swallow into CPython,SW
3152,Cofunctions,SR
3153,Asynchronous IO support,SS
8010,The Technical Leader Governance Model,IR
8011,Python Governance Model Lead by Trio of Pythonistas,IR
8012,The Community Governance Model,IR
8013,The External Council Governance Model,IR
8014,The Commons Governance Model,IR
8015,Organization of the Python community,IR
801,RESERVED,
